local_authority_ons_district,la_name,KSI,Total,Fatal,KSI_rate,Fatal_rate
S12000017,Highland,439,738,54,59.48509485094851,7.317073170731707
S12000029,South Lanarkshire,316,732,25,43.169398907103826,3.415300546448088
E07000128,Wyre,228,578,11,39.44636678200692,1.9031141868512111
S12000006,Dumfries and Galloway,223,569,17,39.19156414762742,2.987697715289982
S12000047,Fife,292,762,28,38.320209973753286,3.674540682414698
E06000047,County Durham,543,1423,55,38.15881939564301,3.865073787772312
S12000050,North Lanarkshire,254,667,18,38.08095952023988,2.6986506746626686
W06000023,Powys,372,983,34,37.843336724313325,3.458799593082401
E07000079,Cotswold,220,590,23,37.28813559322034,3.898305084745763
E08000016,Barnsley,403,1081,20,37.28029602220167,1.8501387604070305
E07000127,West Lancashire,187,505,15,37.02970297029703,2.9702970297029703
S12000049,Glasgow City,654,1795,28,36.43454038997215,1.5598885793871866
E07000121,Lancaster,267,733,9,36.4256480218281,1.227830832196453
W06000009,Pembrokeshire,227,635,10,35.74803149606299,1.574803149606299
W06000010,Carmarthenshire,329,936,21,35.14957264957265,2.2435897435897436
