la_name,slope,ci_lo,ci_hi,std_err,intercept,r_squared,p_value,n_years,mean_ksi,trend_shape,ci_includes_zero
Cheshire East,-6.918181818181819,-12.312691921871206,-1.5236717144924325,2.384675208367613,14108.445454545456,0.4832451602136183,0.017563880886301366,11,140.63636363636363,Non-linear,False
Cardiff,-6.345454545454546,-8.764956767459463,-3.9259523234496276,1.069555317258462,12867.290909090909,0.7963712445650397,0.00021996103353988278,11,55.81818181818182,Linear,False
Aberdeenshire,-6.300000000000002,-9.677592393282794,-2.9224076067172096,1.493084763846107,12823.790909090912,0.6642264391026528,0.0022412628078298307,11,104.0909090909091,Linear,False
Milton Keynes,-4.718181818181818,-6.639288656560175,-2.797074979803461,0.8492366798929882,9593.554545454544,0.7742483472262144,0.0003537833844647422,11,67.54545454545455,Linear,False
Swansea,-4.500000000000002,-5.800919860283786,-3.1990801397162176,0.5750793453459488,9126.590909090914,0.8718509820666102,2.640128957065823e-05,11,41.09090909090909,Linear,False
Coventry,-4.000000000000001,-7.085825919996651,-0.9141740800033502,1.364107662662727,8171.727272727275,0.48859277205733925,0.016693906299718987,11,95.72727272727273,Non-linear,False
Wirral,-3.990909090909091,-6.624335071584834,-1.3574831102333476,1.1641215844407669,8160.827272727273,0.5663267704966206,0.007528951150649412,11,103.18181818181819,Linear,False
Aberdeen City,-3.981818181818183,-6.820459411614546,-1.14317695202182,1.2548382032904073,8086.38181818182,0.5280303864361998,0.011308165551986406,11,47.09090909090909,Linear,False
Sefton,-3.145454545454545,-5.822285663208331,-0.46862342770075927,1.1833090829005464,6433.309090909091,0.4398089639970608,0.026123382554258903,11,82.63636363636364,Non-linear,False
Warrington,-3.045454545454546,-5.456581143860669,-0.6343279470484231,1.065852823136335,6211.681818181819,0.4756505891328303,0.01886345523706539,11,62.90909090909091,Non-linear,False
Cherwell,-3.027272727272727,-5.4467263940483095,-0.6078190604971443,1.0695338531311536,6173.7,0.47094623290580134,0.019707606985418912,11,61.63636363636363,Non-linear,False
Swindon,-2.7272727272727275,-5.344059980186769,-0.11048547435868628,1.1567663360809626,5562.272727272728,0.38180892584422205,0.04276435207952456,11,55.90909090909091,Non-linear,False
South Oxfordshire,-2.6272727272727274,-5.096213264089851,-0.15833219045560432,1.091409817743225,5357.827272727272,0.39167604577002435,0.03942780381029556,11,53.36363636363637,Non-linear,False
Rhondda Cynon Taf,-2.5,-4.5488947759917675,-0.4511052240082325,0.9057260961509569,5087.681818181818,0.4584444713870029,0.022104334240921193,11,40.18181818181818,Non-linear,False
Windsor and Maidenhead,-2.490909090909091,-4.162241547278274,-0.8195766345399078,0.7388224318864349,5070.236363636364,0.5581028843294678,0.008237888473977932,11,41.09090909090909,Linear,False
Conwy,-2.2909090909090906,-3.7185979955466855,-0.8632201862714957,0.6311183537912639,4675.163636363636,0.5941616766467064,0.005486305646259114,11,49.81818181818182,Linear,False
East Hampshire,-2.2727272727272725,-4.089502024405454,-0.4559525210490911,0.8031160617443612,4649.090909090908,0.47084526141328886,0.01972606235881662,11,60.45454545454545,Non-linear,False
Vale of White Horse,-2.245454545454545,-3.7014166167700737,-0.7894924741390166,0.6436166749257081,4581.027272727271,0.5749057670561625,0.00684298716632253,11,47.45454545454545,Linear,False
Wokingham,-2.1727272727272733,-3.457728472842185,-0.8877260726123617,0.568042407139238,4420.281818181819,0.6191307175373946,0.0040590763150103425,11,33.54545454545455,Linear,False
York,-2.1454545454545455,-4.047201150918454,-0.243707939990637,0.8406783740279695,4380.672727272728,0.4198401929745213,0.03108992305875612,11,49.0,Non-linear,False
Walsall,-1.8181818181818183,-3.3516242794852755,-0.28473935687836116,0.677867341174809,3751.272727272728,0.4442470013327411,0.025115016927901045,11,80.36363636363636,Non-linear,False
Fareham,-1.7272727272727277,-3.0174016533661656,-0.43714380117928986,0.5703091488416832,3537.636363636365,0.5047539149888146,0.014277626656722718,11,50.27272727272727,Linear,False
West Berkshire,-1.7181818181818183,-3.061818533359669,-0.3745451030039675,0.5939625845812688,3515.009090909091,0.48180469382249796,0.01780451112414079,11,46.0,Non-linear,False
Slough,-1.718181818181818,-2.6087807929756277,-0.8275828433880085,0.3936945626139284,3507.736363636363,0.6791064638783268,0.0018122032351545944,11,38.72727272727273,Linear,False
Denbighshire,-1.5090909090909093,-2.907649742768366,-0.11053207541345245,0.6182412330330468,3091.7636363636366,0.398323214801966,0.03730695437674963,11,44.90909090909091,Non-linear,False
Pendle,-0.7818181818181819,-1.5164257971887305,-0.04721056644763311,0.32473765635439555,1619.3090909090909,0.39173728813559305,0.03940780706893621,11,40.81818181818182,Non-linear,False
