la_name,slope,ci_lo,ci_hi,std_err,intercept,r_squared,p_value,n_years,mean_ksi,trend_shape,ci_includes_zero
Leeds,15.718181818181819,1.5563987976730491,29.87996483869059,6.260300236010682,-31388.736363636363,0.411917386164153,0.03326862876214599,11,346.27272727272725,Non-linear,False
Bradford,14.927272727272728,4.536461668565066,25.31808378598039,4.5933196991485215,-29927.89090909091,0.5399022788257439,0.01000090876796621,11,210.27272727272728,Linear,False
Southwark,12.918181818181818,7.56793069564077,18.268432940722867,2.365110263068897,-25935.445454545454,0.7682396134530514,0.0003993982075903625,11,146.36363636363637,Linear,False
Croydon,10.763636363636364,6.529784939888255,14.997487787384472,1.8715991502581455,-21608.78181818182,0.7860933539690018,0.0002759357607358434,11,123.0,Linear,False
Highland,9.463636363636365,5.707115741996853,13.220156985275876,1.6605922361733778,-19002.9,0.7830178181765635,0.00029469910859589214,11,104.18181818181819,Linear,False
Lambeth,9.409090909090908,1.6014197979748523,17.216762020206964,3.4514273540859297,-18826.772727272724,0.45228374316017006,0.023371545572138067,11,170.1818181818182,Non-linear,False
Wandsworth,9.290909090909091,3.898590236877287,14.683227944940896,2.3837065534511623,-18618.70909090909,0.6279739788126933,0.0036322557671404822,11,139.63636363636363,Linear,False
Doncaster,8.281818181818181,3.087271978043562,13.4763643855928,2.296279979601775,-16559.9,0.5910528864643126,0.005689194654720932,11,161.0909090909091,Linear,False
Wakefield,7.327272727272728,1.9678731357288743,12.686672318816582,2.3691543980887926,-14657.400000000001,0.5152242877989976,0.012871580337102728,11,136.36363636363637,Linear,False
Glasgow City,6.9727272727272736,4.076604319634626,9.868850225819921,1.2802483402341032,-13893.390909090911,0.7672200631211039,0.0004075786527004013,11,184.54545454545453,Linear,False
Greenwich,6.527272727272728,3.1411695473138255,9.91337590723163,1.4968470076087699,-13096.109090909093,0.6787497366757952,0.00182165525591214,11,82.45454545454545,Linear,False
Hounslow,6.5,2.9857398438582403,10.01426015614176,1.5534995595566483,-13021.954545454546,0.6604632835512375,0.002361678482867496,11,101.54545454545455,Linear,False
Lewisham,6.145454545454545,2.528730541620149,9.76217854928894,1.5987943115637813,-12309.581818181816,0.6214485816085076,0.003943498678861968,11,98.0909090909091,Linear,False
Barnsley,6.045454545454545,1.3439140333312984,10.746995057577791,2.0783438875623688,-12092.136363636362,0.48456641318401966,0.017345532158098607,11,113.63636363636364,Non-linear,False
Richmond upon Thames,5.818181818181818,3.1059831460013103,8.530380490362326,1.1989435202453418,-11672.454545454546,0.7234959550641185,0.0009048690067478133,11,74.45454545454545,Linear,False
Rotherham,5.818181818181818,2.708388547256852,8.927975089106784,1.3747025723895459,-11626.272727272728,0.6655833604159898,0.002199068059792069,11,120.63636363636364,Linear,False
Blackpool,5.463636363636363,1.6124866336469563,9.31478609362577,1.702423595153982,-10950.990909090908,0.5336736503058418,0.01067041227605954,11,80.0909090909091,Linear,False
Kensington and Chelsea,5.41818181818182,0.728004220953042,10.108359415410597,2.0733208435930752,-10843.400000000003,0.43143294386280295,0.028118789283228328,11,95.9090909090909,Non-linear,False
Bexley,4.490909090909091,1.3835042363795913,7.598313945438591,1.3736467587464065,-9008.781818181818,0.5428812956042002,0.00969304050363459,11,58.36363636363637,Linear,False
Medway,4.490909090909091,2.5403693087637746,6.441448873054408,0.8622476873730454,-8976.50909090909,0.7508800000000001,0.0005577824352611835,11,90.63636363636364,Linear,False
Hammersmith and Fulham,4.427272727272728,1.8445483455021083,7.009997109043347,1.141708641724994,-8848.027272727273,0.6255776535133998,0.0037441697133586255,11,90.63636363636364,Linear,False
Merton,4.372727272727273,1.7209854828423543,7.024469062612192,1.172218196608096,-8761.354545454546,0.607246719160105,0.004695280836025515,11,67.18181818181819,Linear,False
Preston,4.172727272727274,0.8974971848911242,7.447957360563423,1.4478348991914805,-8337.100000000002,0.4799548933843632,0.018117507647844637,11,87.63636363636364,Non-linear,False
Sutton,4.081818181818183,1.5891999437399829,6.574436419896383,1.1018766861155371,-8188.736363636367,0.6039212749385899,0.004886975475674765,11,52.45454545454545,Linear,False
Redbridge,3.7454545454545447,0.9279155355852611,6.562993555323828,1.2455098417275638,-7483.981818181816,0.5011928664225815,0.014783612313225702,11,78.0909090909091,Linear,False
