local_authority_ons_district,la_name,KSI,KSI_rate,Total,rank_count,rank_collrate,population,KSI_per_100k,max_rank_shift,flagged
E08000035,Leeds,1369,30.34131205673759,4512,1,108,845189.0,161.9756054562944,107,True
E08000025,Birmingham,1336,19.424251235824368,6878,2,284,1183618.0,112.8742550383654,282,True
E08000032,Bradford,891,28.303684879288436,3148,3,138,563605.0,158.0894420737928,135,True
E08000019,Sheffield,774,32.90816326530612,2352,4,71,582493.0,132.87713328743865,67,True
E09000033,Westminster,741,20.526315789473685,3610,5,265,209996.0,352.8638640736014,260,True
E06000052,Cornwall,739,25.025397900440232,2953,6,187,583289.0,126.69534313179228,181,True
S12000049,Glasgow City,654,36.43454038997215,1795,7,42,650300.0,100.56896816853761,35,True
E08000003,Manchester,598,29.04322486644002,2059,8,130,589670.0,101.41265453558769,122,True
E08000034,Kirklees,592,28.7378640776699,2060,9,134,447847.0,132.18800170593977,125,True
E09000022,Lambeth,585,18.962722852512158,3085,10,288,316920.0,184.58917076864824,278,True
E09000028,Southwark,577,19.713016740690126,2927,11,279,314786.0,183.2991302027409,268,True
E08000017,Doncaster,560,34.29271279853031,1633,12,59,319765.0,175.12861007302237,47,True
E08000012,Liverpool,549,19.941881583726843,2753,13,274,508961.0,107.86681101302457,261,True
E08000036,Wakefield,546,29.497568881685577,1851,14,121,367666.0,148.50434905593664,107,True
E06000047,County Durham,543,38.15881939564301,1423,15,32,538011.0,100.92730446031773,17,True
S12000017,Highland,439,59.48509485094851,738,24,3,237290.0,185.0056892410131,21,True
S12000034,Aberdeenshire,265,60.36446469248291,439,76,2,265080.0,99.96982043156784,74,True
S12000048,Perth and Kinross,221,50.57208237986271,437,108,11,154420.0,143.11617666105425,97,True
S12000026,Scottish Borders,156,54.166666666666664,288,184,7,116980.0,133.35612925286375,177,True
S12000035,Argyll and Bute,153,54.64285714285714,280,190,6,87690.0,174.4782757440985,184,True
S12000008,East Ayrshire,126,48.275862068965516,261,237,15,121480.0,103.72077708264734,222,True
S12000033,Aberdeen City,113,50.22222222222222,225,262,12,231780.0,48.75312796617482,250,True
S12000028,South Ayrshire,105,51.98019801980198,202,276,9,112260.0,93.53287012292891,267,True
S12000020,Moray,78,62.903225806451616,124,309,1,95010.0,82.09662140827281,308,True
S12000039,West Dunbartonshire,67,48.9051094890511,137,317,14,89120.0,75.17953321364453,303,True
S12000018,Inverclyde,64,56.14035087719298,114,319,4,78880.0,81.13590263691684,315,True
S12000045,East Dunbartonshire,58,53.21100917431193,109,326,8,109970.0,52.74165681549513,318,True
S12000005,Clackmannanshire,35,50.72463768115942,69,332,10,52110.0,67.16561120706199,322,True
S12000023,Orkney Islands,19,55.88235294117647,34,336,5,22020.0,86.28519527702089,331,True
S12000027,Shetland Islands,18,50.0,36,338,13,23190.0,77.61966364812419,325,True
